benchmark,time,runs,noReload,workers,isolation,sites,items,ops,schema,simulatedSites,operation,rt,tps,ct,ar,rtP95
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,6,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,6,write,0.003214,209.550,11316,0.000000,0.004161
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,6,currTime,0.000778,211.328,11412,0.000000,0.001056
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,8,readKey,0.000763,208.250,11246,0.000000,0.001047
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,8,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,8,total,0.001600,623.810,33686,0.000000,0.003835
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,8,write,0.003206,209.336,11304,0.000000,0.004140
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,8,currTime,0.000816,206.225,11136,0.000000,0.001097
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,10,write,0.003168,207.914,11228,0.000000,0.004150
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,10,currTime,0.000829,207.056,11181,0.000000,0.001103
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,10,readKey,0.000806,207.988,11232,0.000000,0.001093
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,10,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,10,total,0.001602,622.959,33641,0.000000,0.003803
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,12,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,12,write,0.003123,205.716,11109,0.000000,0.004078
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,12,total,0.001620,618.191,33383,0.000000,0.003784
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,12,currTime,0.000845,206.271,11139,0.000000,0.001123
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,12,readKey,0.000896,206.204,11135,0.000000,0.001188
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,14,currTime,0.000796,217.727,11758,0.000000,0.001119
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,14,total,0.001538,653.034,35265,0.000000,0.003582
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,14,readKey,0.000982,217.974,11771,0.000000,0.001310
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,14,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,14,write,0.002840,217.332,11736,0.000000,0.003959
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,16,currTime,0.000892,197.253,10652,0.000000,0.001175
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,16,readKey,0.001046,198.673,10729,0.000000,0.001347
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,16,readAll,NaN,0.000,0,NaN,NaN
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,16,total,0.001681,595.000,32131,0.000000,0.003777
timestampEncoding,60,3,true,1,RC,1,1000,1000,cube,16,write,0.003098,199.074,10750,0.000000,0.004122
